metro_area,population,road_length (mi),land_area (sq mi),daily_vmt (mi/day)
"Mandeville--Covington, LA",88925,773,66,4625000
"Blacksburg, VA",88542,784,51,2140000
"Portsmouth, NH--ME",88200,586,93,2881000
"Anderson, IN",88133,796,66,3123000
"Dover--Rochester, NH--ME",88087,405,66,1881000
"Lawrence, KS",88053,465,30,1802000
"Hanford, CA",87941,408,28,1347000
"Tracy, CA",87569,282,22,1499000
"State College, PA",87454,343,29,1182000
"Port Huron, MI",87106,549,60,1728000
"Springfield, OH",85256,541,49,2172000
"Dalton, GA",85239,846,81,3667000
"Fajardo, PR",85225,399,51,868000
"Lee's Summit, MO",85081,526,41,2519000
"Prescott Valley--Prescott, AZ",84744,1135,51,3341000
"Napa, CA",83913,293,26,1191000
"Bend, OR",83794,527,40,1845000
"Manteca, CA",83578,320,22,2254000
"Alexandria, LA",82804,719,66,2223000
"Joplin, MO",82775,753,64,2263000
"Missoula, MT",82157,597,45,1794000
"Bismarck, ND",81955,766,39,1999000
"Kankakee, IL",81926,451,37,1227000
"Livermore, CA",81624,338,24,2426000
"Rapid City, SD",81251,703,42,2171000
"Wheeling, WV--OH",81249,748,47,2388000
"St. Joseph, MO--KS",81176,573,42,1750000
"Homosassa Springs--Beverly Hills--Citrus Springs, FL",80962,1435,90,3621000
"Juana Diaz, PR",80928,382,48,744000
"Hattiesburg, MS",80358,849,69,2762000
"Guayama, PR",80155,368,41,461000
"Altoona, PA",79930,472,37,1455000
"Anniston--Oxford, AL",79796,1129,87,3096000
"Lafayette--Louisville--Erie, CO",79407,474,40,1537000
"Madera, CA",78413,320,22,1108000
"Battle Creek, MI",78393,622,53,2093000
"Bowling Green, KY",78306,516,45,2398000
"Texarkana--Texarkana, TX--AR",78162,873,64,2544000
"Lebanon, PA",77086,434,45,920000
"Valdosta, GA",77085,690,56,3254000
"Florence, AL",77074,828,62,2540000
"Newark, OH",76068,462,42,1824000
"Anderson, SC",75702,1409,74,3763000
"Williamsburg, VA",75689,485,56,3090000
"Mansfield, OH",75250,599,50,2057000
"Lake Jackson--Angleton, TX",74830,489,42,1486000
"Auburn, AL",74741,666,50,3042000
"Wausau, WI",74632,740,47,2208000
"Oshkosh, WI",74495,395,31,1743000
"Cheyenne, WY",73588,685,35,1789000
"Watsonville, CA",73534,196,23,1028000
"Elizabethtown--Radcliff, KY",73467,502,57,1789000
"Sumter, SC",73107,839,66,1863000
"Lima, OH",72852,520,52,1798000
"Davis, CA",72794,197,14,1153000
"Westminster--Eldersburg, MD",72714,486,58,1770000
"Flagstaff, AZ",71957,421,35,1917000
"Jackson, TN",71880,592,51,2636000
"Camarillo, CA",71772,263,22,1955000
"Florida--Imbery--Barceloneta, PR",71747,339,46,929000
"Sheboygan, WI",71313,426,33,1193000
"Weirton--Steubenville, WV--OH--PA",70889,622,51,1561000
"Bay City, MI",70585,468,40,1725000
"Owensboro, KY",70543,430,34,1412000
"Decatur, AL",70436,769,58,2650000
"Morgantown, WV",70350,374,37,1558000
"Porterville, CA",70272,296,21,677000
"Pocatello, ID",69809,429,31,1371000
"Janesville, WI",69658,528,31,1576000
"Bristol--Bristol, TN--VA",69501,766,64,3443000
"Winchester, VA",69449,431,37,2752000
"St. Augustine, FL",69173,437,43,1871000
"Johnstown, PA",69014,437,39,877000
"Hilton Head Island, SC",68998,280,68,1827000
"Dothan, AL",68781,835,56,2887000
"Lodi, CA",68738,238,16,1448000
"DeKalb, IL",68545,354,26,1159000
"West Bend, WI",68444,494,38,1619000
"Rocky Mount, NC",68243,472,46,1500000
"Elmira, NY",67983,456,38,1531000
"Carbondale, IL",67821,717,49,1701000
"Dubuque, IA--IL",67818,415,34,1151000
"Hammond, LA",67629,852,77,3179000
"Parkersburg, WV--OH",67229,520,42,1372000
"Wenatchee, WA",67227,409,31,1241000
"Harrisonburg, VA",66784,366,33,2146000
"Cleveland, TN",66777,853,55,3190000
"Zephyrhills, FL",66609,404,43,1745000
"Hanover, PA",66301,457,36,1368000
"Monessen--California, PA",66086,596,45,1354000
"Michigan City--La Porte, IN--MI",66025,496,39,1693000
"Glens Falls, NY",65443,547,42,1857000
"Jonesboro, AR",65419,811,47,2263000
"Conway, AR",65277,708,40,2748000
"Great Falls, MT",65207,479,31,1039000
"El Paso de Robles (Paso Robles)--Atascadero, CA",65088,465,31,2034000
"Casper, WY",64548,486,30,1222000
"Fairbanks, AK",64513,757,55,1600000
"Gadsden, AL",64172,1034,72,2526000
"Saratoga Springs, NY",64100,537,45,2824000
"Petaluma, CA",64078,230,21,1292000
"Twin Rivers--Hightstown, NJ",64037,318,35,2295000
"Beckley, WV",64022,722,61,2017000
"Longview, WA--OR",63952,363,33,1940000
"Beloit, WI--IL",63835,468,34,1446000
"Los Lunas, NM",63758,653,69,1144000
"Victoria, TX",63683,504,29,1479000
"Mount Vernon, WA",62966,317,34,1348000
"Corvallis, OR",62433,305,21,796000
"Kokomo, IN",62182,439,36,1473000
"Sherman, TX",61900,611,36,2080000
